Player,From,To,Pos,Ht,Wt,Birth Date,College,Active,Hall Of Fame,Webpage Link
Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke University,False,False,/players/a/abdelal01.html
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State University,False,False,/players/a/abdulza01.html
Kareem Abdul-Jabbar,1970,1989,C,7-2,225,"April 16, 1947","University of California, Los Angeles",False,True,/players/a/abdulka01.html
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",Louisiana State University,False,False,/players/a/abdulma02.html
Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974",San Jose State University,False,False,/players/a/abdulta01.html
Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",University of California,False,False,/players/a/abdursh01.html
Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana University,False,False,/players/a/abernto01.html
Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky University,False,False,/players/a/ablefo01.html
John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem International University,False,False,/players/a/abramjo01.html
Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine University,False,False,/players/a/ackeral01.html
Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University,False,False,/players/a/ackerdo01.html
Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts University,False,False,/players/a/acresma01.html
Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College,False,False,/players/a/actonbu01.html
Quincy Acy,2013,2016,F,6-7,240,"October 6, 1990",Baylor University,True,False,/players/a/acyqu01.html
Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",University of Oklahoma,False,False,/players/a/adamsal01.html
Don Adams,1971,1977,F,6-6,210,"November 27, 1947",Northwestern University,False,False,/players/a/adamsdo01.html
George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,False,False,/players/a/adamsge01.html
Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",University of Arizona,False,False,/players/a/adamsha01.html
Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994","University of California, Los Angeles",True,False,/players/a/adamsjo01.html
Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College,False,False,/players/a/adamsmi01.html
Steven Adams,2014,2016,C,7-0,255,"July 20, 1993",University of Pittsburgh,True,False,/players/a/adamsst01.html
Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse University,False,False,/players/a/addisra01.html
Rick Adelman,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount University,False,False,/players/a/adelmri01.html
Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",University of Connecticut,False,False,/players/a/adrieje01.html
Arron Afflalo,2008,2016,G,6-5,210,"October 15, 1985","University of California, Los Angeles",True,False,/players/a/afflaar01.html
Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State University,False,False,/players/a/agerma01.html
Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul University,False,False,/players/a/aguirma01.html
Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State University,False,False,/players/a/ahearbl01.html
Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959",Brigham Young University,False,False,/players/a/aingeda01.html
Matthew Aitch,1968,1968,F,6-7,230,"September 21, 1944",Michigan State University,False,False,/players/a/aitchma01.html
Alexis Ajinca,2009,2016,C,7-2,248,"May 6, 1988",,True,False,/players/a/ajincal01.html
Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,False,False,/players/a/akinhe01.html
Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","California State University, Fullerton",True,False,/players/a/akognjo01.html
Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State University,True,False,/players/a/alabiso01.html
Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke University,False,False,/players/a/alarima01.html
Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936","California State University, Fresno",False,False,/players/a/alcorga01.html
Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",,True,False,/players/a/aldemfu01.html
Cole Aldrich,2011,2016,C,6-11,250,"October 31, 1988",University of Kansas,True,False,/players/a/aldrico01.html
LaMarcus Aldridge,2007,2016,F,6-11,240,"July 19, 1985",University of Texas at Austin,True,False,/players/a/aldrila01.html
Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959",University of Connecticut,False,False,/players/a/aleksch01.html
Cliff Alexander,2016,2016,F,6-8,240,"November 16, 1995",University of Kansas,True,False,/players/a/alexacl01.html
Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",University of Virginia,False,False,/players/a/alexaco01.html
Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","California State University, Fresno",False,False,/players/a/alexaco02.html
Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",University of South Florida,False,False,/players/a/alexaga01.html
Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia University,False,False,/players/a/alexajo01.html
Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State University,False,False,/players/a/alexavi01.html
Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana University,False,False,/players/a/alforst01.html
Bill Allen,1968,1968,C-F,6-8,205,,New Mexico State University,False,False,/players/a/allenbi01.html
Bob Allen,1969,1969,F,6-9,205,"July 17, 1946",Marshall University,False,False,/players/a/allenbo01.html
Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",University of Pennsylvania,False,False,/players/a/allenje01.html
Lavoy Allen,2012,2016,F-C,6-9,255,"February 4, 1989",Temple University,True,False,/players/a/allenla01.html
Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947","University of California, Los Angeles",False,False,/players/a/allenlu01.html
Malik Allen,2002,2011,F,6-10,255,"June 27, 1978",Villanova University,False,False,/players/a/allenma01.html
Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State University,False,False,/players/a/allenra01.html
Ray Allen,1997,2014,G,6-5,205,"July 20, 1975",University of Connecticut,False,False,/players/a/allenra02.html
Tony Allen,2005,2016,G-F,6-4,213,"January 11, 1982",Oklahoma State University,True,False,/players/a/allento01.html
Willie Allen,1972,1972,F,6-6,230,"February 8, 1949",University of Miami,False,False,/players/a/allenwi01.html
Odis Allison,1972,1972,F,6-6,195,"October 2, 1949","University of Nevada, Las Vegas",False,False,/players/a/allisod01.html
Lance Allred,2008,2008,C,6-11,250,"February 2, 1981",Weber State University,False,False,/players/a/allrela01.html
Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958","University of California, Los Angeles",False,False,/players/a/allumda01.html
Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University,False,False,/players/a/almonmo01.html
Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne University,False,False,/players/a/alstode01.html
Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976","California State University, Fresno",False,False,/players/a/alstora01.html
Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty University,False,False,/players/a/alumape01.html
John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970",Pennsylvania State University,False,False,/players/a/amaecjo01.html
Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois University,False,False,/players/a/amayaas01.html
Al-Farouq Aminu,2011,2016,F,6-9,215,"September 21, 1990",Wake Forest University,True,False,/players/a/aminual01.html
Lou Amundson,2007,2016,F,6-9,220,"December 7, 1982","University of Nevada, Las Vegas",True,False,/players/a/amundlo01.html
Bob Anderegg,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State University,False,False,/players/a/anderbo01.html
Chris Andersen,2002,2016,F-C,6-10,245,"July 7, 1978",Blinn College,True,False,/players/a/anderch01.html
David Andersen,2010,2011,C,6-11,245,"June 23, 1980",,False,False,/players/a/anderda03.html
Alan Anderson,2006,2016,G-F,6-6,220,"October 16, 1982",Michigan State University,True,False,/players/a/anderal01.html
Andrew Anderson,1968,1970,G,6-2,184,"July 6, 1945",Canisius College,False,False,/players/a/anderan01.html
Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",University of Memphis,False,False,/players/a/anderan02.html
Cliff Anderson,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's University,False,False,/players/a/andercl01.html
Dan Anderson,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,False,False,/players/a/anderda01.html
Dan Anderson,1975,1976,G,6-2,185,"January 1, 1951",University of Southern California,False,False,/players/a/anderda02.html
Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974",University of Kentucky,False,False,/players/a/anderde01.html
Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960",University of Southern California,False,False,/players/a/anderdw01.html
Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana University,False,False,/players/a/anderer01.html
Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",University of Houston,False,False,/players/a/andergr01.html
J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley University,False,False,/players/a/anderjj01.html
James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State University,True,False,/players/a/anderja01.html
Jerome Anderson,1976,1977,G,6-5,195,"October 9, 1953",West Virginia University,False,False,/players/a/anderje01.html
Justin Anderson,2016,2016,G,6-6,228,"November 19, 1993",University of Virginia,True,False,/players/a/anderju01.html
Kenny Anderson,1992,2005,G,6-0,168,"October 9, 1970",Georgia Institute of Technology,False,False,/players/a/anderke01.html
Kim Anderson,1979,1979,F,6-7,200,"May 12, 1955",University of Missouri,False,False,/players/a/anderki01.html
Kyle Anderson,2015,2016,G-F,6-9,230,"September 20, 1993","University of California, Los Angeles",True,False,/players/a/anderky01.html
Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel University,False,False,/players/a/andermi01.html
Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",University of Illinois at Urbana-Champaign,False,False,/players/a/anderni01.html
Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960","University of California, Santa Barbara",False,False,/players/a/anderri01.html
Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958","California State University, Fresno",False,False,/players/a/anderro01.html
Ryan Anderson,2009,2016,F,6-10,240,"May 6, 1988",University of California,True,False,/players/a/anderry01.html
Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",University of Georgia,False,False,/players/a/andersh01.html
Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",University of Georgia,False,False,/players/a/anderwi01.html
Wally Anderzunas,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton University,False,False,/players/a/anderwa01.html
Martynas Andriuskevicius,2006,2006,C,7-2,240,"March 12, 1986",,False,False,/players/a/andrima01.html
Don Anielak,1955,1955,F,6-7,190,"November 1, 1930",Missouri State University,False,False,/players/a/anieldo01.html
Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",University of Alabama,False,False,/players/a/anslemi01.html
Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",,False,False,/players/a/anstech01.html
Giannis Antetokounmpo,2014,2016,F-G,6-11,222,"December 6, 1994",,True,False,/players/a/antetgi01.html
Thanasis Antetokounmpo,2016,2016,F,6-7,205,"July 17, 1992",,True,False,/players/a/antetth01.html
Carmelo Anthony,2004,2016,F,6-8,240,"May 29, 1984",Syracuse University,True,False,/players/a/anthoca01.html
Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Nevada, Las Vegas",False,False,/players/a/anthogr01.html
Joel Anthony,2008,2016,C,6-9,245,"August 9, 1982","University of Nevada, Las Vegas",True,False,/players/a/anthojo01.html
Pero Antic,2014,2015,F,6-11,260,"July 29, 1982",,True,False,/players/a/anticpe01.html
Keith Appling,2016,2016,G,6-1,185,"February 13, 1992",Michigan State University,True,False,/players/a/applike01.html
Rafael Araujo,2005,2007,C,6-11,280,"August 12, 1980",Brigham Young University,False,False,/players/a/araujra01.html
Stacey Arceneaux,1962,1962,F,6-4,210,"February 17, 1936",Iowa State University,False,False,/players/a/arcenst01.html
Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",University of Illinois at Urbana-Champaign,False,False,/players/a/archiro01.html
Tiny Archibald,1971,1984,G,6-1,150,"September 2, 1948",University of Texas at El Paso,False,True,/players/a/architi01.html
Jim Ard,1971,1978,F-C,6-8,215,"September 19, 1948",University of Cincinnati,False,False,/players/a/ardji01.html
Gilbert Arenas,2002,2012,G,6-3,191,"January 6, 1982",University of Arizona,False,False,/players/a/arenagi01.html
Trevor Ariza,2005,2016,F,6-8,215,"June 30, 1985","University of California, Los Angeles",True,False,/players/a/arizatr01.html
Paul Arizin,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova University,False,True,/players/a/arizipa01.html
Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",Niagara University,False,False,/players/a/arlaujo01.html
B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",University of Iowa,False,False,/players/a/armstbj01.html
Bob Armstrong,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State University,False,False,/players/a/armstbo01.html
Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine University,False,False,/players/a/armstbr01.html
Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana University,False,False,/players/a/armstcu01.html
Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University,False,False,/players/a/armstda01.html
Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",University of Connecticut,False,False,/players/a/armsthi01.html
Tate Armstrong,1978,1979,G,6-3,175,"October 5, 1955",Duke University,False,False,/players/a/armstta01.html
Jesse Arnelle,1956,1956,F,6-5,220,"December 30, 1933",Pennsylvania State University,False,False,/players/a/arnelje01.html
Jay Arnette,1964,1966,G,6-2,175,"December 19, 1938",University of Texas at Austin,False,False,/players/a/arnetja01.html
Bob Arnzen,1970,1974,F,6-5,205,"November 3, 1947",University of Notre Dame,False,False,/players/a/arnzebo01.html
Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University,False,False,/players/a/arroyca01.html
Darrell Arthur,2009,2016,F,6-9,235,"March 25, 1988",University of Kansas,True,False,/players/a/arthuda01.html
John Arthurs,1970,1970,G,6-4,185,"August 15, 1947",Tulane University,False,False,/players/a/arthujo01.html
Omer Asik,2011,2016,C,7-0,255,"July 4, 1986",,True,False,/players/a/asikom01.html
Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",University of Memphis,False,False,/players/a/askewvi01.html
Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",University of Alabama,False,False,/players/a/askinke01.html
Don Asmonga,1954,1954,G,6-2,185,"February 15, 1928",Alliance College,False,False,/players/a/asmondo01.html
Dick Atha,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University,False,False,/players/a/athadi01.html
Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",University of South Florida,False,False,/players/a/atkinch01.html
Al Attles,1961,1971,G,6-0,175,"November 7, 1936",North Carolina Agricultural and Technical State University,False,False,/players/a/attleal01.html
Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",Michigan State University,False,False,/players/a/aubucch01.html
Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968","University of Nevada, Las Vegas",False,False,/players/a/augmost01.html
D.J. Augustin,2009,2016,G,6-0,183,"November 10, 1987",University of Texas at Austin,True,False,/players/a/augusdj01.html
James Augustine,2007,2008,F,6-10,235,"February 27, 1984",University of Illinois at Urbana-Champaign,False,False,/players/a/augusja01.html
Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State University,False,False,/players/a/austiis01.html
Johnny Austin,1967,1968,G,6-0,170,"August 31, 1944",Boston College,False,False,/players/a/austijo01.html
Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University,False,False,/players/a/austike01.html
Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall University,False,False,/players/a/aventan01.html
Bird Averitt,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine University,False,False,/players/a/averibi01.html
William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke University,False,False,/players/a/averywi01.html
Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara University,False,False,/players/a/awtrede01.html
Gustavo Ayon,2012,2014,C,6-10,250,"April 1, 1985",,True,False,/players/a/ayongu01.html
Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",Arizona State University,True,False,/players/p/pendeje02.html
Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",University of Kentucky,False,False,/players/a/azubuke01.html
